# name, page size, block size, total size, spare size, mode data, unlock data, ECC err mask, ECC err state, read prepend, plane have, die type, frequency (kHz). kHz, ID1, ID2, ID3, ID4, ID5
init, 8, 32, 128, 0, -, -, -, -, 0, 0, 0, 1000, 1, 2, 3, 4, 5
ATO25D1GA, 2048, 131072, 134217728, 64, -, 0, 0, 255, 0, 0, 0, 104000, 155, 18, -, -, -
DS35Q2GA, 2048, 131072, 268435456, 64, -, 0, 48, 32, 0, 1, 0, 104000, 229, 114, -, -, -
EM73C044SNB, 2048, 131072, 134217728, 128, -, 0, 48, 32, 0, 0, 0, 20000, 213, 17, -, -, -
F50L2G41LB, 2048, 131072, 268435456, 64, -, 131, 48, 32, 0, 0, 1, 104000, 200, 10, -, -, -
FM25G01B, 2048, 131072, 134217728, 128, -, 0, 112, 112, 0, 0, 0, 20000, 161, 209, -, -, -
FS35ND01GS1F1, 2048, 131072, 134217728, 64, -, 0, 112, 112, 0, 0, 0, 20000, 205, 177, -, -, -
GD5F1GQ4UBxIG, 2048, 131072, 134217728, 128, -, 0, 48, 32, 0, 0, 0, 120000, 200, 209, -, -, -
MT29F2G01, 2048, 131072, 268435456, 128, -, 0, 112, 32, 0, 1, 0, 133000, 44, 36, -, -, -
PN26G02AWSIUG, 2048, 131072, 268435456, 128, -, 0, 48, 32, 0, 0, 0, 20000, 161, 226, -, -, -
SG2GB4GX(?), 2048, 131072, 268435456, 64, -, 0, 48, 32, 0, 0, 0, 20000, 200, 210, -, -, -
TC58CVG1S3H, 2048, 131072, 268435456, 64, -, 0, 48, 48, 0, 0, 0, 104000, 152, 203, -, -, -
