# name, page size, block size, total size, page off., read com., read ID com., write com., write en. com., erase com., status com., Busy bit, Busy bit state, Max. freq. kHz, ID1, ID2, ID3, ID4, ID5
AT25SF041, 256, 4096, 524288, 8, 11, 159, 2, 6, 32, 5, 0, 1, 85000, 31, 132, 1, -, -
AT45DB021D, 264, 2112, 270336, 9, 11, 159, 130, -, 80, 215, 7, 0, 66000, 31, 35, -, -, -
MX25L12835F, 256, 4096, 16777216, 8, 11, 159, 2, 6, 32, 5, 0, 1, 133000, 194, 32, 24, -, -
MX25L1606E, 256, 4096, 2097152, 8, 11, 159, 2, 6, 32, 5, 0, 1, 86000, 194, 32, 21, -, -
MX25L8006E, 256, 4096, 1048576, 8, 11, 159, 2, 6, 32, 5, 0, 1, 86000, 194, 32, 20, -, -
GD25B64C, 256, 4096, 8388608, 8, 11, 159, 2, 6, 32, 5, 0, 1, 120000, 200, 64, 23, -, -
GD25Q127C, 256, 4096, 16777216, 8, 11, 159, 2, 6, 32, 5, 0, 1, 104000, 200, 64, 24, -, -
GD25Q64C, 256, 4096, 8388608, 8, 0, 159, 2, 6, 32, 5, 0, 1, 133000, 200, 64, 23, -, -
W25Q128FV, 256, 4096, 16777216, 8, 11, 159, 2, 6, 32, 5, 0, 1, 104000, 239, 64, 24, -, -
W25Q16JV, 256, 4096, 2097152, 8, 11, 159, 2, 6, 32, 5, 0, 1, 133000, 239, 64, 21, -, -
W25Q32BV, 256, 4096, 4194304, 8, 11, 159, 2, 6, 32, 5, 0, 1, 104000, 239, 64, 22, -, -
W25Q40CL(BV), 256, 4096, 524288, 8, 11, 159, 2, 6, 32, 5, 0, 1, 100000, 239, 64, 19, -, -
W25Q64C(F)V, 256, 4096, 8388608, 8, 11, 159, 2, 6, 32, 5, 0, 1, 80000, 239, 64, 23, -, -
W25Q64FW, 256, 4096, 8388608, 8, 11, 159, 2, 6, 32, 5, 0, 1, 80000, 239, 96, 23, -, -
W25Q64JV(IM/JM), 256, 4096, 8388608, 8, 11, 159, 2, 6, 32, 5, 0, 1, 133000, 239, 112, 23, -, -
